nombre_campania;usuario;valor_donado;fecha_donativo;comentario
Ayuda para niños y adultos con TDAH;Aerified;73;2023-07-24;"""¡Eres increíble tal como eres! Tu creatividad, energía y entusiasmo son cualidades valiosas. Aprender a gestionar el TDAH te hará aún más fuerte. ¡Tienes un potencial ilimitado!"""
Ayudemos a que Madou pueda estudiar en Canadá;Aerified;21;2023-07-13;"""A pesar de las limitaciones financieras, sigue persiguiendo tus metas con pasión. El mundo necesita más personas como tú que buscan el conocimiento y la superación."""
Una oportunidad de vida;Aerified;8;2023-08-26;"""Marisol, en medio de los desafíos, estás escribiendo tu propia historia de resiliencia y superación. Te admiramos y te apoyamos en este camino."""
Ayudemos a que Madou pueda estudiar en Canadá;Alpha;95;2023-07-30;"""Cada obstáculo que enfrentes en el camino será una oportunidad para crecer y aprender. Estamos seguros de que superarás estos desafíos y lograrás tus metas."""
Mundial Abu Dhabi AJP;Alpha;68;2023-07-21;"""El Mundial de Jiu Jitsu en Abu Dhabi es solo el comienzo de una carrera exitosa en este deporte, Nekae. ¡Ve y deja tu huella!"""
Todos por Eneko;Alphazap;13;2023-08-13;"""Eneko, estamos enviando pensamientos positivos y energía curativa mientras continúas tu tratamiento en Madrid. Eres un luchador valiente."""
Ayuda para cuidar a Ricardo;Andalax;48;2023-08-25;"""Tu mamá debe estar increíblemente agradecida de tenerte a su lado, Nico. Eres su ángel guardián en este momento de necesidad."""
Mundial Abu Dhabi AJP;Andalax;6;2023-07-04;"""Cada entrenamiento te acerca más a tu sueño de competir en el Mundial. Sigue trabajando duro y nunca dejes de creer en ti mismo."""
Ascenso a Nacional Ok Bronce;Asoka;18;2023-08-29;"""El Club Traviesas Hockey Club tiene una historia de éxito. ¡Añadan otro capítulo glorioso con su desempeño en el Nacional Ok Bronce!"""
Ayuda para cuidar a Ricardo;Asoka;18;2023-07-17;"""Nico, tu amor y dedicación son un recordatorio de la importancia de la familia. Tu mamá es afortunada de tenerte a su lado."""
Ayuda para cuidar a Ricardo;Asoka;61;2023-07-17;"""La valentía que has mostrado al cuidar de tu mamá es inspiradora. Sigues demostrando que el amor puede superar cualquier obstáculo."""
Recolecta de material sanitario;Asoka;65;2023-08-13;"""La generosidad de hoy construirá un mañana más saludable para las comunidades en África. Únete a la recolección y seamos parte del cambio."""
Worth a Haven Primary School;Asoka;36;2023-07-20;"""Cada aula que construyes es una oportunidad para que los niños crezcan y aprendan. Estamos contigo en esta importante misión, Leyre."""
Ayuda a Nico para realizar el circuito Mundial WSL;Bamity;3500;2023-07-24;"""En el WSL, cada ola es una nueva aventura. Disfruta del viaje y sigue persiguiendo tus sueños, Nico."""
Una oportunidad de vida;Bamity;42;2023-08-10;"""La distancia no debilita nuestro apoyo, Marisol. Estamos unidos en pensamiento y corazón mientras enfrentas este desafío. ¡Tú puedes vencerlo!"""
Arte regional;Bebesota;250;2023-08-30;Queremos cocer más de ustedes
Ayuda para cuidar a Ricardo;Bigtax;20;2023-08-18;"""En medio de la adversidad, tu amor es un rayo de luz que ilumina a todos a tu alrededor, Nico. Sigue siendo un ejemplo de amor y fortaleza."""
Mundial Abu Dhabi AJP;Bigtax;93;2023-08-04;"""Los desafíos solo hacen que los logros sean más dulces. Nekae, enfrenta el Mundial con determinación y coraje. ¡Eres un verdadero luchador!"""
Todos por Eneko;Bigtax;34;2023-08-03;"""Cada día de tratamiento es un paso hacia la victoria sobre el linfoma de Burkitt. Mantén la fe en tu capacidad para superar esto."""
Una oportunidad de vida;Bigtax;96;2023-08-02;"""El coraje que estás demostrando al afrontar el cáncer y la vida en un nuevo país merece un profundo respeto. Sigue adelante con esperanza."""
AYUDAME A AYUDARLA;Biodex;46;2023-08-10;"""La recuperación puede ser un viaje largo y difícil, pero estamos seguros de que tu perrita tiene el coraje y la determinación para superar cualquier cosa. 🌟💪"""
Recolecta de material sanitario;Bitchip;1000;2023-07-05;"""¡Apoyemos la iniciativa de recolecta de material médico y sanitario en África! Cada donación cuenta y puede marcar la diferencia en la salud de muchas personas."""
Recolecta de material sanitario;Bitchip;10;2023-08-03;"""Cada caja de suministros médicos es una caja llena de esperanza para quienes luchan por su salud en África. ¡Únete a la causa!"""
Worth a Haven Primary School;Bytecard;12;2023-07-15;"""La educación es una inversión en el futuro. Gracias por trabajar incansablemente para dar a los niños de tu comunidad una oportunidad."""
AYUDAME A AYUDARLA;Cardguard;9;2023-08-22;"""Tú y tu perrita han compartido innumerables momentos felices juntos. No dudes en que habrá muchos más en el futuro. 🐾💖"""
Ayudemos a que Madou pueda estudiar en Canadá;Cardguard;22;2023-08-16;"""No importa cuán empinado parezca el camino, sigue luchando por tu educación en Canadá. Tu resiliencia te llevará a lugares que ni siquiera puedes imaginar."""
Mundial Abu Dhabi AJP;Cardify;32;2023-07-05;"""Nekae, tu determinación y disciplina son tus mayores activos. Estás destinado a alcanzar grandes logros en el Mundial de Jiu Jitsu."""
Worth a Haven Primary School;Cardify;18;2023-07-12;"""Vi el video de tu proyecto, Leyre, y me conmovió profundamente tu compromiso con la educación. Estamos aquí para ayudar en lo que podamos."""
Worth a Haven Primary School;Cardify;58;2023-08-19;"""La construcción de más aulas es un regalo que seguirá dando durante generaciones, Leyre. Sigamos trabajando juntos por un mejor mañana."""
Ayuda a Nico para realizar el circuito Mundial WSL;Cookley;19;2023-07-27;"""Nico, tu dedicación y esfuerzo te llevarán lejos en el WSL. ¡Eres un surfista increíble!"""
Ayudemos a que Madou pueda estudiar en Canadá;Cookley;84;2023-07-25;"""No dejes que los desafíos económicos te desanimen, Madou. Tu dedicación te llevará lejos en tu búsqueda académica en Canadá. ¡Confía en ti mismo y sigue adelante!"""
Todos por Eneko;Daltfresh;3000;2023-07-10;"""Eneko, tu fuerza y ​​determinación en esta batalla son verdaderamente admirables. Estamos aquí para apoyarte en cada paso de tu tratamiento en Madrid."""
Worth a Haven Primary School;Daltfresh;92;2023-07-03;"""Leyre, tu dedicación para mejorar la educación en tu comunidad es verdaderamente inspiradora. Estamos emocionados de apoyar tu noble causa."""
Worth a Haven Primary School;Daltfresh;89;2023-07-04;"""Cada ladrillo que colocas es un paso más hacia un futuro más brillante para los estudiantes. Tu esfuerzo es un regalo para tu comunidad."""
Recolecta de material sanitario;Domainer;15;2023-08-11;"""En tiempos difíciles, la solidaridad brilla aún más. Demostremos nuestro apoyo a África donando material médico y sanitario."""
Una oportunidad de vida;Domainer;18;2023-08-16;"""Marisol, tu historia es un testimonio de fortaleza. Aprovecha esta nueva etapa en España como un capítulo de esperanza y recuperación."""
A Pikachu;Duobam;52;2023-08-23;"""Pikachu, aunque estés pasando por un momento difícil ahora, recuerda que estás rodeado de amor y apoyo. ¡Esperamos que te recuperes pronto y vuelvas a ser el travieso y cariñoso gato que todos amamos! 🐾❤️"""
Ayuda para niños y adultos con TDAH;Fintone;86;2023-08-28;"""El TDAH no define quién eres. Eres mucho más que un diagnóstico. Tu individualidad es un regalo único para el mundo. ¡Sigue siendo tú mismo y alcanzarás tus sueños!"""
Worth a Haven Primary School;Fintone;49;2023-07-16;"""Leyre, tu determinación y dedicación son un ejemplo para todos nosotros. Sigamos construyendo juntos un futuro educativo más sólido."""
Ayuda a Nico para realizar el circuito Mundial WSL;Fix San;41;2023-07-28;"""Las olas del WSL te esperan, Nico. Conquístalas con confianza y demuestra de lo que estás hecho."""
Ayúdanos a salvar a REY;Fix San;85;2023-08-06;"""Mientras luchas por cada respiración, queremos que sepas cuánto te admiramos y apreciamos. Eres un niño asombroso. 💙🌟"""
Recolecta de material sanitario;Fix San;79;2023-07-26;"""África necesita nuestro apoyo ahora más que nunca. Demostremos nuestro compromiso donando material médico y sanitario para quienes lo necesitan."""
