nombre_campania;usuario;valor_donado;fecha_donativo;comentario,,,,,,,,,,,,,,,,,,,,,,
"A Pikachu;egarza1i;90;27/7/2023;""Pikachu estamos enviándote un montón de energía positiva y amor mientras te recuperas de tu cirugía. ¡Esperamos verte muy pronto jugando y saltando como siempre! ????""",,,,,,,,,,,,,,,,,,,,,,
" A Pikachu;mgiannini1j;74;31/7/2023;""Querido Pikachu que te recuperes pronto y que vuelvas a llenar de alegría y travesuras cada rincón de tu hogar. ¡Estamos pensando en ti y deseándote una pronta recuperación! ????""",,,,,,,,,,,,,,,,,,,,,,
"A Pikachu;mdangelo4q;30;21/8/2023;""Pikachu eres un gatito valiente y fuerte. ¡Estamos seguros de que superarás esta cirugía con éxito! Te enviamos mucho cariño y buenos deseos para una recuperación rápida. ????""",,,,,,,,,,,,,,,,,,,,,,
"A Pikachu;srijkeseis1p;52;23/8/2023;""Pikachu aunque estés pasando por un momento difícil ahora, recuerda que estás rodeado de amor y apoyo. ¡Esperamos que te recuperes pronto y vuelvas a ser el travieso y cariñoso gato que todos amamos! ????""",,,,,,,,,,,,,,,,,,,,,,
"A Pikachu;njakubowicz3q;69;26/8/2023;""Querido Pikachu te enviamos un montón de abrazos virtuales y buenos deseos para tu recuperación. Esperamos verte muy pronto explorando tu mundo con alegría y vitalidad. ¡Ánimo! ????""",,,,,,,,,,,,,,,,,,,,,,
"A Pikachu;arozenzweig24;73;27/8/2023;""Pikachu tu valentía nos inspira a todos. Te deseamos una pronta y completa recuperación. Que pronto estés de nuevo en casa, disfrutando de los mimos y las travesuras. ¡Cuídate mucho! ????""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;mheggs4v;5;7/7/2023;""¡Vamos Traviesas Hockey Club! Con determinación y trabajo en equipo, alcanzarán nuevas alturas en el Nacional Ok Bronce. ¡Creemos en ustedes!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;bpanyer27;95;23/7/2023;""El ascenso al Nacional Ok Bronce es un logro merecido. ¡Sigan luchando con pasión y orgullo, chicos!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;zalmeida18;99;25/7/2023;""Cada golpe, cada sprint, los está acercando al éxito en el Nacional Ok Bronce. ¡No dejen de esforzarse!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;kporch1s;24;3/8/2023;""La dedicación y la perseverancia los han llevado hasta aquí. ¡Ahora, avancen con confianza hacia el Nacional Ok Bronce, Traviesas Hockey Club!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;krisbridger1m;41;10/8/2023;""No hay límites para lo que pueden lograr. ¡El Nacional Ok Bronce es solo el comienzo de una emocionante travesía!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;cgowanson12;49;12/8/2023;""En el campo de juego, son invencibles. ¡Lleven esa energía al Nacional Ok Bronce y hagan historia!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;mpleavin2;35;13/8/2023;""En cada partido, ustedes demuestran su pasión por el hockey. ¡Sigan así y conquisten el Nacional Ok Bronce!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;mminguetg;92;16/8/2023;""El Nacional Ok Bronce es un nuevo desafío, pero ustedes están preparados para enfrentarlo con fuerza y coraje. ¡Adelante, Traviesas Hockey Club!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;asteel19;96;17/8/2023;""Los momentos difíciles solo hacen que las victorias sean más dulces. ¡Ánimo en el Nacional Ok Bronce, chicos!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;ladamsson4i;10;18/8/2023;""Cuando juegan juntos como un equipo, son imparables. ¡Lleven esa camaradería al Nacional Ok Bronce y triunfen!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;dmanifield45;55;22/8/2023;""Cada paso que dan es un paso más cerca del éxito en el Nacional Ok Bronce. ¡Mantengan el enfoque y la determinación!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;doloughaney;69;26/8/2023;""El ascenso al Nacional Ok Bronce es un reflejo de su trabajo duro y dedicación. ¡Sigan adelante y alcancen sus metas!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;kballind;17;28/8/2023;""La pasión por el hockey los ha traído hasta aquí. ¡Lleven esa pasión al Nacional Ok Bronce y dejen una huella imborrable!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;sdunthorn2l;40;29/8/2023;""No importa qué desafíos se presenten, ustedes tienen el espíritu de campeones. ¡Confiamos en que brillarán en el Nacional Ok Bronce!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;dgerardot4e;18;29/8/2023;""El Club Traviesas Hockey Club tiene una historia de éxito. ¡Añadan otro capítulo glorioso con su desempeño en el Nacional Ok Bronce!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;apilsbury7;53;30/8/2023;""El Nacional Ok Bronce es el escenario perfecto para mostrar su talento y determinación. ¡Vamos, hagan que cada partido cuente!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;estlouis2x;72;30/8/2023;""Nada es imposible cuando trabajan juntos con pasión y dedicación. ¡El Nacional Ok Bronce es su oportunidad para brillar!""",,,,,,,,,,,,,,,,,,,,,,
"Ascenso a Nacional Ok Bronce;gbuer41;23;30/8/2023;""No importa el resultado, siempre serán nuestros campeones. ¡Hagan su mejor esfuerzo y disfruten cada momento en el Nacional Ok Bronce!""",,,,,,,,,,,,,,,,,,,,,,
"AyÃºdanos a salvar a REY;mheadings1u;55;15/7/2023;""Rey, tu valentía y fortaleza son verdaderamente inspiradoras. No importa cuán desafiante sea el camino, estamos aquí para apoyarte en cada paso que des. ????""",,,,,,,,,,,,,,,,,,,,,,
